[2026-03-18 14:03:23] info: 	z2m: Logging to console, file (filename: log.log)
[2026-03-18 14:03:23] info: 	z2m: Starting Zigbee2MQTT version 2.9.1 (commit #85875aee27caa005946bb5a446080461a0d2fc33
)
[2026-03-18 14:03:23] info: 	z2m: Starting zigbee-herdsman (9.0.9)
[2026-03-18 14:03:23] info: 	zh:ember: Using default stack config.
[2026-03-18 14:03:23] info: 	zh:ember: ======== Ember Adapter Starting ========
[2026-03-18 14:03:23] info: 	zh:ember:ezsp: ======== EZSP starting ========
[2026-03-18 14:03:23] info: 	zh:ember:uart:ash: ======== ASH Adapter reset ========
[2026-03-18 14:03:23] info: 	zh:ember:uart:ash: Serial port opened
[2026-03-18 14:03:23] info: 	zh:ember:uart:ash: ======== ASH starting ========
[2026-03-18 14:03:24] info: 	zh:ember:uart:ash: ======== ASH connected ========
[2026-03-18 14:03:24] info: 	zh:ember:uart:ash: ======== ASH started ========
[2026-03-18 14:03:24] info: 	zh:ember:ezsp: ======== EZSP started ========
[2026-03-18 14:03:24] info: 	zh:ember: Adapter version info: {"ezsp":18,"revision":"8.2.2 [GA]","build":436,"major":8,"minor":2,"patch":2,"special":0,"type":170}
[2026-03-18 14:03:24] info: 	zh:ember: [STACK STATUS] Network up.
[2026-03-18 14:03:25] info: 	zh:ember: [INIT TC] Adapter network matches config.
[2026-03-18 14:03:25] info: 	zh:ember: [CONCENTRATOR] Started source route discovery. 1248ms until next broadcast.
[2026-03-18 14:03:25] info: 	z2m: zigbee-herdsman started (resumed)
[2026-03-18 14:03:25] info: 	z2m: Coordinator firmware version: '{"meta":{"build":436,"ezsp":18,"major":8,"minor":2,"patch":2,"revision":"8.2.2 [GA]","special":0,"type":170},"type":"EmberZNet"}'
[2026-03-18 14:03:25] info: 	z2m: 0xa4c1387f4dcc1553 (0xa4c1387f4dcc1553): TS0001_switch_module - Tuya 1 gang switch module (Router)
[2026-03-18 14:03:25] info: 	z2m: Currently 1 devices are joined.
[2026-03-18 14:03:25] info: 	z2m: Connecting to MQTT server at mqtt://mqtt:1883
[2026-03-18 14:03:25] error: 	z2m: MQTT failed to connect, exiting... (Connection refused: Not authorized)
[2026-03-18 14:03:25] info: 	z2m: Stopping zigbee-herdsman...
[2026-03-18 14:03:25] info: 	zh:controller: Wrote coordinator backup to '/app/data/coordinator_backup.json'
[2026-03-18 14:03:25] info: 	zh:ember:uart:ash: ASH COUNTERS since last clear:
[2026-03-18 14:03:25] info: 	zh:ember:uart:ash:   Total frames: RX=51, TX=94
[2026-03-18 14:03:25] info: 	zh:ember:uart:ash:   Cancelled   : RX=0, TX=0
[2026-03-18 14:03:25] info: 	zh:ember:uart:ash:   DATA frames : RX=50, TX=43
[2026-03-18 14:03:25] info: 	zh:ember:uart:ash:   DATA bytes  : RX=804, TX=475
[2026-03-18 14:03:25] info: 	zh:ember:uart:ash:   Retry frames: RX=0, TX=0
[2026-03-18 14:03:25] info: 	zh:ember:uart:ash:   ACK frames  : RX=0, TX=50
[2026-03-18 14:03:25] info: 	zh:ember:uart:ash:   NAK frames  : RX=0, TX=0
[2026-03-18 14:03:25] info: 	zh:ember:uart:ash:   nRdy frames : RX=0, TX=0
[2026-03-18 14:03:25] info: 	zh:ember:uart:ash:   CRC errors      : RX=0
[2026-03-18 14:03:25] info: 	zh:ember:uart:ash:   Comm errors     : RX=0
[2026-03-18 14:03:25] info: 	zh:ember:uart:ash:   Length < minimum: RX=0
[2026-03-18 14:03:25] info: 	zh:ember:uart:ash:   Length > maximum: RX=0
[2026-03-18 14:03:25] info: 	zh:ember:uart:ash:   Bad controls    : RX=0
[2026-03-18 14:03:25] info: 	zh:ember:uart:ash:   Bad lengths     : RX=0
[2026-03-18 14:03:25] info: 	zh:ember:uart:ash:   Bad ACK numbers : RX=0
[2026-03-18 14:03:25] info: 	zh:ember:uart:ash:   Out of buffers  : RX=0
[2026-03-18 14:03:25] info: 	zh:ember:uart:ash:   Retry dupes     : RX=0
[2026-03-18 14:03:25] info: 	zh:ember:uart:ash:   Out of sequence : RX=0
[2026-03-18 14:03:25] info: 	zh:ember:uart:ash:   ACK timeouts    : RX=0
[2026-03-18 14:03:25] info: 	zh:ember:uart:ash: Port closed, error=null
[2026-03-18 14:03:25] info: 	zh:ember:uart:ash: ======== ASH stopped ========
[2026-03-18 14:03:25] info: 	zh:ember:ezsp: ======== EZSP stopped ========
[2026-03-18 14:03:25] info: 	zh:ember: ======== Ember Adapter Stopped ========
[2026-03-18 14:03:25] info: 	z2m: Stopped zigbee-herdsman
